Date,Open,High,Low,Close,Adj Close,Volume
2020-03-25,145.000000,156.000000,142.550003,151.800003,148.659500,4384696
2020-03-26,151.000000,157.449997,144.500000,149.800003,146.700882,8021051
2020-03-27,152.100006,156.449997,146.199997,151.449997,148.316727,6108830
2020-03-30,148.449997,148.449997,136.500000,142.399994,139.453964,11851147
2020-03-31,145.949997,152.399994,144.500000,146.250000,143.224319,9965166
2020-04-01,145.949997,145.949997,139.050003,143.000000,140.041565,5967259
2020-04-03,143.250000,148.149994,132.500000,140.699997,137.789124,18559502
2020-04-07,148.050003,159.850006,145.449997,158.100006,154.829178,16436897
2020-04-08,155.000000,170.750000,152.149994,154.600006,151.401581,15245833
2020-04-09,159.000000,170.000000,158.000000,166.300003,162.859512,15243024
2020-04-13,167.500000,172.399994,161.149994,167.649994,164.181580,11554107
2020-04-15,170.000000,174.949997,165.850006,171.399994,167.853989,17616469
2020-04-16,169.300003,174.600006,167.399994,170.649994,167.119507,10428942
2020-04-17,175.000000,179.850006,170.350006,177.300003,173.631943,10104652
2020-04-20,183.000000,183.000000,166.100006,167.500000,164.034683,12628134
2020-04-21,164.000000,164.399994,156.800003,159.600006,156.298126,10887272
2020-04-22,158.000000,163.000000,155.500000,161.199997,157.865021,7765194
2020-04-23,162.399994,166.300003,158.699997,159.949997,156.640884,7114844
2020-04-24,157.500000,159.500000,152.600006,153.250000,150.079498,8446858
2020-04-27,156.000000,160.649994,155.000000,157.300003,154.045715,9744555
2020-04-28,159.399994,160.300003,157.000000,159.399994,156.102249,8025743
2020-04-29,160.800003,166.399994,159.000000,164.100006,160.705032,11842945
2020-04-30,168.600006,188.699997,167.500000,180.649994,176.912628,16023029
2020-05-04,170.949997,170.949997,162.350006,163.550003,160.166412,10645228
2020-05-05,167.500000,171.649994,162.800003,163.899994,160.509155,12993334
2020-05-06,165.500000,169.300003,163.149994,165.800003,162.369858,8720744
2020-05-07,164.199997,174.000000,162.500000,172.199997,168.637451,11944057
2020-05-08,175.550003,176.600006,167.500000,168.649994,165.160889,9042793
2020-05-11,170.000000,176.399994,168.750000,174.550003,170.938843,9199262
2020-05-12,172.000000,179.600006,167.050003,178.199997,174.513321,11889650
2020-05-13,189.000000,189.000000,180.600006,182.350006,178.577469,10377119
2020-05-14,179.000000,180.399994,174.199997,175.199997,171.575394,5808569
2020-05-15,176.899994,179.399994,173.250000,174.300003,170.694016,11546095
2020-05-18,175.800003,176.199997,162.100006,163.250000,159.872620,8130435
2020-05-19,167.000000,172.949997,165.899994,169.300003,165.797455,11001050
2020-05-20,169.300003,173.000000,168.300003,171.050003,167.511261,10091663
2020-05-21,172.000000,174.850006,168.949997,169.899994,166.385040,11064338
2020-05-22,168.399994,169.500000,163.500000,166.149994,162.712616,10227598
2020-05-26,168.000000,178.250000,168.000000,176.250000,172.603668,30382764
2020-05-27,176.050003,189.000000,174.149994,184.800003,180.976776,20403214
2020-05-28,186.199997,188.750000,183.199997,184.149994,180.340210,14269347
2020-05-29,181.000000,185.449997,180.050003,184.199997,180.389191,13458180
2020-06-01,188.000000,199.399994,187.149994,193.949997,189.937469,17324552
2020-06-02,195.000000,197.750000,190.350006,192.149994,188.174713,14154998
2020-06-03,195.000000,197.800003,191.550003,192.699997,188.713348,11567639
2020-06-04,193.000000,195.199997,189.800003,192.000000,188.027817,10238125
2020-06-05,195.949997,202.399994,194.050003,197.050003,192.973358,26006706
2020-06-08,202.000000,202.000000,192.250000,194.949997,190.916794,13522686
2020-06-09,195.949997,198.899994,188.600006,190.050003,186.118179,8055125
2020-06-10,188.000000,191.899994,184.550003,190.949997,186.999542,11822883
2020-06-11,188.000000,190.850006,183.550003,184.649994,180.829880,6481949
2020-06-12,177.000000,190.199997,175.449997,188.949997,185.040924,9000374
2020-06-15,185.949997,186.449997,179.949997,183.750000,179.948502,12059162
2020-06-16,189.000000,195.949997,185.750000,190.050003,186.118179,23463976
2020-06-17,188.750000,194.449997,185.800003,191.850006,187.880936,11912688
2020-06-18,189.000000,194.050003,188.000000,193.399994,189.398849,8868682
2020-06-19,195.100006,197.350006,192.699997,194.300003,190.280243,18204861
2020-06-22,194.899994,199.899994,193.000000,197.949997,193.854721,11091656
2020-06-23,198.100006,203.899994,198.100006,201.649994,197.478180,14849653
2020-06-24,206.949997,207.750000,192.350006,193.899994,189.888519,19738813
2020-06-25,192.149994,197.350006,191.000000,193.550003,189.545761,9502767
2020-06-26,195.649994,197.500000,191.550003,192.649994,188.664368,6960471
2020-06-29,192.500000,192.949997,185.649994,190.699997,186.754715,7559711
2020-06-30,191.149994,195.600006,187.800003,189.350006,185.432648,11450924
2020-07-01,190.300003,193.050003,188.550003,191.449997,187.489212,8342523
2020-07-02,192.350006,195.000000,190.050003,194.449997,190.427124,9164225
2020-07-03,195.699997,196.500000,190.500000,190.949997,186.999542,6610447
2020-07-06,192.149994,195.250000,190.500000,193.750000,191.750000,10803674
2020-07-07,194.699997,194.750000,190.250000,190.850006,190.850006,6564421
2020-07-08,191.000000,202.000000,191.000000,195.350006,195.350006,22607746
2020-07-09,196.350006,202.750000,196.100006,197.449997,197.449997,14801527
2020-07-10,196.000000,196.000000,191.000000,193.300003,193.300003,10893400
2020-07-13,195.399994,199.800003,195.250000,198.399994,198.399994,11050714
2020-07-14,198.000000,198.399994,191.649994,194.050003,194.050003,7233285
2020-07-15,196.000000,199.850006,193.399994,194.899994,194.899994,9389574
2020-07-16,194.000000,201.899994,192.600006,201.149994,201.149994,13646627
2020-07-17,203.199997,211.800003,202.649994,206.750000,206.750000,23872563
2020-07-20,207.500000,208.850006,204.000000,206.800003,206.800003,6380346
2020-07-21,208.000000,210.750000,204.149994,209.949997,209.949997,5671648
2020-07-22,211.000000,214.000000,204.100006,207.000000,207.000000,9323615
2020-07-23,206.899994,210.500000,205.449997,209.350006,209.350006,5251158
2020-07-24,206.000000,211.600006,203.250000,205.000000,205.000000,8192444
2020-07-27,202.050003,208.500000,200.100006,206.949997,206.949997,10548103
2020-07-28,208.100006,215.750000,207.449997,214.899994,214.899994,9784893
2020-07-29,214.050003,220.949997,213.850006,217.550003,217.550003,11276206
2020-07-30,218.649994,221.949997,213.149994,214.350006,214.350006,6483799
2020-07-31,214.500000,221.250000,213.300003,220.250000,220.250000,7306481
2020-08-03,221.000000,225.449997,218.649994,220.550003,220.550003,9865865
2020-08-04,221.550003,229.250000,219.149994,228.100006,228.100006,9878195
2020-08-05,228.500000,236.199997,228.149994,235.149994,235.149994,11076752
2020-08-06,235.000000,239.949997,232.500000,239.500000,239.500000,10772815
2020-08-07,236.800003,241.000000,235.800003,240.199997,240.199997,6794779
2020-08-10,241.000000,246.350006,238.550003,245.199997,245.199997,6482292
2020-08-11,246.500000,255.500000,246.300003,253.750000,253.750000,15124767
2020-08-12,252.000000,257.899994,249.050003,256.799988,256.799988,8055411
2020-08-13,258.100006,264.000000,255.850006,258.600006,258.600006,14516343
2020-08-14,259.000000,267.299988,257.549988,265.350006,265.350006,13199058
2020-08-17,266.899994,271.250000,263.200012,269.600006,269.600006,10757867
2020-08-18,270.600006,279.200012,267.350006,277.149994,277.149994,10683637
2020-08-19,278.000000,279.899994,274.200012,278.549988,278.549988,10287297
2020-08-20,273.000000,284.500000,271.149994,282.649994,282.649994,11325004
2020-08-21,284.350006,288.000000,280.350006,281.899994,281.899994,10884069
2020-08-24,284.149994,287.250000,282.600006,285.750000,285.750000,9488675
2020-08-25,286.549988,287.250000,280.149994,284.899994,284.899994,7786996
2020-08-26,285.500000,286.850006,283.149994,286.200012,286.200012,5278515
2020-08-27,285.350006,290.750000,283.799988,289.299988,289.299988,5930824
2020-08-28,285.500000,289.750000,280.049988,280.700012,280.700012,11914490
2020-08-31,281.000000,281.750000,268.450012,269.799988,269.799988,19774467
2020-09-01,269.799988,288.500000,269.049988,286.799988,286.799988,13679100
2020-09-02,288.500000,294.000000,285.049988,293.000000,293.000000,11710711
2020-09-03,293.000000,295.850006,290.850006,293.399994,293.399994,6425365
2020-09-04,286.049988,291.250000,280.549988,282.350006,282.350006,8442924
2020-09-07,281.000000,287.750000,278.850006,286.500000,286.500000,8634438
2020-09-08,286.000000,288.399994,278.399994,281.149994,281.149994,7609074
2020-09-09,273.200012,288.500000,272.450012,286.850006,286.850006,14099247
2020-09-10,289.350006,290.250000,278.450012,285.350006,285.350006,9369826
2020-09-11,283.950012,289.000000,282.700012,287.799988,287.799988,6485991
2020-09-14,287.100006,293.950012,285.600006,289.850006,289.850006,7275752
2020-09-15,290.950012,294.549988,288.750000,289.600006,289.600006,6682205
2020-09-16,289.000000,291.700012,286.299988,288.649994,288.649994,6090447
2020-09-17,286.000000,288.799988,283.149994,286.850006,286.850006,5287608
2020-09-18,285.299988,293.549988,284.450012,287.700012,287.700012,9911089
2020-09-21,289.399994,290.299988,270.049988,271.299988,271.299988,7522304
2020-09-22,269.299988,275.149994,262.700012,271.899994,271.899994,13246981
2020-09-23,274.899994,274.899994,263.649994,268.200012,268.200012,8444204
2020-09-24,263.049988,264.950012,257.549988,258.549988,258.549988,7984409
2020-09-25,261.100006,270.450012,258.799988,268.350006,268.350006,6842515
2020-09-28,270.950012,278.799988,269.149994,277.000000,277.000000,5470078
2020-09-29,277.000000,286.799988,276.049988,284.100006,284.100006,11241924
2020-09-30,283.200012,284.950012,275.000000,277.750000,277.750000,6288601
2020-10-01,281.450012,286.649994,278.250000,282.049988,282.049988,4873599
2020-10-05,284.299988,292.000000,282.450012,290.100006,290.100006,9269669
2020-10-06,292.750000,295.000000,286.700012,291.350006,291.350006,9592838
2020-10-07,290.000000,293.799988,287.200012,291.450012,291.450012,8126574
2020-10-08,291.500000,298.399994,287.649994,292.950012,292.950012,11623030
2020-10-09,293.149994,298.350006,291.049988,292.000000,292.000000,7301282
2020-10-12,294.899994,294.899994,279.350006,285.149994,285.149994,10299644
2020-10-13,285.000000,291.100006,283.950012,289.950012,289.950012,7541780
2020-10-14,289.250000,292.000000,285.500000,290.649994,290.649994,6525759
2020-10-15,291.799988,297.700012,289.200012,291.549988,291.549988,10662625
2020-10-16,291.500000,312.450012,290.750000,311.049988,311.049988,19877043
